word,length,freq
vessazioni,10,1
vetta,5,2
vezzo,5,1
vi,2,21
via,3,14
viaggiare,9,1
vicenda,7,1
vicinato,8,1
vicini,6,1
vicino,6,1
vide,4,3
vie,3,1
vien,4,3
viene,5,4
vigne,5,2
vigorosa,8,1
vile,4,1
villaggio,9,1
ville,5,1
vino,4,2
violenti,8,1
violento,8,1
violenze,8,2
viottole,8,4
virtuose,8,1
virtù,5,1
vis,3,1
visacci,7,1
viso,4,4
vissero,7,1
vista,5,4
vita,4,7
vitalità,8,1
vive,4,2
viver,5,1
vivere,6,5
vivevano,8,1
vivo,4,1
vivuta,6,1
vo,2,1
vocabolo,8,1
voce,4,14
voglia,6,6
vogliam,7,2
voglio,6,11
voglion,7,1
vogliono,8,1
voi,3,13
voler,5,3
volere,6,1
volesse,7,4
volete,6,8
voleva,6,1
volevan,7,2
volge,5,1
volgeva,7,1
volle,5,2
vollero,7,1
volontariamente,15,1
volta,5,11
voltata,7,3
volte,5,5
volto,5,6
voltò,5,1
voluto,6,7
vorrebbe,8,1
vorrei,6,5
vorreste,8,1
vorrà,5,2
vostra,6,2
vostro,6,3
votandolo,9,1
votum,5,1
vuol,4,13
vuole,5,3
zanne,5,1
zitta,5,2
zitto,5,2
è,1,67
